"accession","source_code","ribotype"
"SRR7308913","SRR",27
"SRR7308922","SRR",27
"SRR7308928","SRR",27
"SRR7308942","SRR",27
"SRR7308949","SRR",27
"SRR7308950","SRR",27
"SRR7308951","SRR",27
"SRR7308954","SRR",27
"SRR7308968","SRR",27
"SRR7308984","SRR",27
"SRR7308991","SRR",27
"SRR7309001","SRR",27
"SRR7309008","SRR",27
"SRR7309015","SRR",27
"SRR7309019","SRR",27
"SRR7309021","SRR",27
"SRR7309024","SRR",27
"SRR7309026","SRR",27
"SRR7309031","SRR",27
"SRR7309035","SRR",27
"SRR7309043","SRR",27
"SRR7309047","SRR",27
"SRR7309050","SRR",27
"SRR7309055","SRR",27
"SRR7309056","SRR",27
"SRR7309058","SRR",27
"SRR7309063","SRR",27
"SRR7309064","SRR",27
"SRR7309065","SRR",27
"SRR7309066","SRR",27
"SRR7309067","SRR",27
"SRR7309081","SRR",27
"SRR7309092","SRR",27
"SRR7309101","SRR",27
"SRR7309106","SRR",27
"SRR7309108","SRR",27
"SRR7309112","SRR",27
"SRR7309119","SRR",27
"SRR7309121","SRR",27
"SRR7309131","SRR",27
"SRR7308632","SRR",27
"SRR7308646","SRR",27
"SRR7308650","SRR",27
"SRR7308657","SRR",27
"SRR7308661","SRR",27
"SRR7308668","SRR",27
"SRR7308669","SRR",27
"SRR7308673","SRR",27
"SRR7308675","SRR",27
"SRR7308682","SRR",27
"SRR7308691","SRR",27
"SRR7308696","SRR",27
"SRR7308703","SRR",27
"SRR7308705","SRR",27
"SRR7308716","SRR",27
"SRR7308738","SRR",27
"SRR7308742","SRR",27
"SRR7308746","SRR",27
"SRR7308747","SRR",27
"SRR7308753","SRR",27
"SRR7308756","SRR",27
"SRR7308757","SRR",27
"SRR7308760","SRR",27
"SRR7308762","SRR",27
"SRR7308779","SRR",27
"SRR7308781","SRR",27
"SRR7308790","SRR",27
"SRR7308792","SRR",27
"SRR7308798","SRR",27
"SRR7308799","SRR",27
"SRR7308800","SRR",27
"SRR7308808","SRR",27
"SRR7308813","SRR",27
"SRR7308834","SRR",27
"SRR7308835","SRR",27
"SRR7308840","SRR",27
"SRR7308841","SRR",27
"SRR7308843","SRR",27
"SRR7308844","SRR",27
"SRR7308849","SRR",27
"SRR7308857","SRR",27
"SRR7308864","SRR",27
"SRR7308874","SRR",27
"SRR7308879","SRR",27
"SRR6890724","SRR",27
"SRR6890726","SRR",27
"SRR6890728","SRR",27
"SRR6890729","SRR",27
"SRR6890730","SRR",27
"SRR6890731","SRR",27
"SRR6890732","SRR",27
"SRR6890733","SRR",27
"SRR6890735","SRR",27
"SRR6890736","SRR",27
"SRR6890738","SRR",27
"SRR6890739","SRR",27
"SRR6890741","SRR",27
"SRR6890742","SRR",27
"SRR6890743","SRR",27
"SRR6890744","SRR",27
"SRR6890745","SRR",27
"SRR6890746","SRR",27
"SRR6890747","SRR",27
"ERR3611150","ERR",27
"ERR3473917","ERR",27
"ERR3473915","ERR",27
"ERR3473907","ERR",27
"ERR3473880","ERR",27
"ERR3473874","ERR",27
