"accession","source_code","ribotype"
"ERR030390","ERR",27
"ERR030391","ERR",27
"ERR030392","ERR",27
"ERR030393","ERR",27
"ERR030394","ERR",27
"ERR030396","ERR",27
"ERR030398","ERR",27
"ERR030374","ERR",27
"ERR030375","ERR",27
"ERR030376","ERR",27
"ERR030377","ERR",27
"ERR030378","ERR",27
"ERR030293","ERR",27
"ERR030294","ERR",27
"ERR030283","ERR",27
"ERR030288","ERR",27
"ERR030284","ERR",27
"ERR030285","ERR",27
"ERR030286","ERR",27
"ERR030287","ERR",27
"ERR030290","ERR",27
"ERR030292","ERR",27
"ERR030291","ERR",27
"ERR030318","ERR",27
"ERR030320","ERR",27
"ERR030315","ERR",27
"ERR030311","ERR",27
"ERR030312","ERR",27
"ERR030316","ERR",27
"ERR030298","ERR",27
"ERR030301","ERR",27
"ERR030302","ERR",27
"ERR030306","ERR",27
"ERR030299","ERR",27
"ERR030300","ERR",27
"ERR030307","ERR",27
"ERR030304","ERR",27
"ERR030305","ERR",27
"ERR030296","ERR",27
"ERR030297","ERR",27
"ERR030322","ERR",27
"ERR030323","ERR",27
"ERR030324","ERR",27
"ERR030325","ERR",27
"ERR030326","ERR",27
"ERR030327","ERR",27
"ERR030328","ERR",27
"ERR030329","ERR",27
"ERR030333","ERR",27
"ERR030335","ERR",27
"ERR030336","ERR",27
"ERR030337","ERR",27
"ERR030339","ERR",27
"ERR030340","ERR",27
"ERR030341","ERR",27
"ERR030342","ERR",27
"ERR030344","ERR",27
"ERR030346","ERR",27
"ERR034223","ERR",27
"ERR030352","ERR",27
"ERR030353","ERR",27
"ERR030354","ERR",27
"ERR030355","ERR",27
"ERR031687","ERR",27
"ERR031688","ERR",27
"ERR031689","ERR",27
"ERR031690","ERR",27
"ERR031691","ERR",27
"ERR031692","ERR",27
"ERR031693","ERR",27
"ERR031697","ERR",27
"ERR031698","ERR",27
"ERR031700","ERR",27
"ERR031701","ERR",27
"ERR031702","ERR",27
"ERR031703","ERR",27
"ERR031704","ERR",27
"ERR031707","ERR",27
"ERR031711","ERR",27
"ERR031675","ERR",27
"ERR031676","ERR",27
"ERR031677","ERR",27
"ERR031678","ERR",27
"ERR031679","ERR",27
"ERR031680","ERR",27
"ERR031681","ERR",27
"ERR031683","ERR",27
"ERR031684","ERR",27
"ERR031685","ERR",27
"ERR029481","ERR",27
"ERR029482","ERR",27
"ERR029483","ERR",27
